"2747242회차,69,31"
"2747243회차,69,31"
"2747244회차,18,82"
"2747245회차,23,77"
"2747246회차,58,42"
"2747247회차,65,35"
"2747248회차,89,11"
"2747249회차,64,36"
"2747250회차,58,42"
"2747251회차,16,84"
"2747252회차,80,20"
"2747253회차,2,98"
"2747254회차,83,17"
"2747255회차,41,59"
"2747256회차,75,25"
"2747257회차,50,50"
"2747258회차,53,47"
"2747259회차,14,86"
"2747260회차,8,92"
"2747261회차,76,24"
"2747262회차,35,65"
"2747263회차,71,29"
"2747264회차,26,74"
"2747265회차,18,82"
"2747266회차,11,89"
"2747267회차,31,69"
"2747268회차,79,21"
"2747269회차,81,19"
"2747270회차,70,30"
"2747271회차,67,33"
"2747272회차,41,59"
"2747273회차,82,18"
"2747274회차,87,13"
"2747275회차,43,57"
"2747276회차,6,94"
"2747277회차,93,7"
"2747278회차,17,83"
"2747279회차,68,32"
"2747280회차,85,15"
"2747281회차,12,88"
"2747282회차,21,79"
"2747283회차,92,8"
"2747284회차,49,51"
"2747285회차,0,100"
"2747286회차,44,56"
"2747287회차,98,2"
"2747288회차,79,21"
"2747289회차,15,85"
"2747290회차,70,30"
"2747291회차,24,76"
"2747292회차,19,81"
"2747293회차,20,80"
"2747294회차,95,5"
"2747295회차,13,87"
"2747296회차,52,48"
"2747297회차,92,8"
"2747298회차,42,58"
"2747299회차,64,36"
"2747300회차,58,42"
"2747301회차,45,55"
"2747302회차,90,10"
"2747303회차,44,56"
"2747304회차,32,68"
